,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance,correct
263,45,0,4,0.511,0.716,-4.0280000000000005,0.0572,0.059,0.0,0.214,0.226,124.947,188160,0.0,0.0,0,3.136,18,5.7397959183673475,0,False
5982,78,5,0,0.741,0.6970000000000001,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,0.4847222222222224,-0.14027777777777778,9,2.668883333333333,456,170.85797430885574,0,False
3532,12,0,16,0.403,0.779,-2.966,0.0536,0.125,7.62e-05,0.385,0.103,145.092,270224,0.7613984674329501,0.37567049808429104,1,4.503733333333333,223,49.51447687844159,0,False
2436,30,2,17,0.833,0.805,-5.5070000000000014,0.0851,0.0523,8e-05,0.294,0.5,114.996,179040,0.4974116161616164,0.08705808080808076,2,2.984,306,102.54691689008041,0,False
960,32,4,6,0.755,0.7020000000000001,-7.022,0.21600000000000005,0.0254,0.0,0.0809,0.501,89.62,226333,0.5371481662991097,0.009571591930082493,0,3.7722166666666666,590,156.40671046643664,0,False
4539,69,5,15,0.606,0.282,-12.207,0.0339,0.501,8.3e-06,0.152,0.563,67.40899999999999,274040,0.5651211361737678,0.4035714285714286,1,4.567333333333333,714,156.32754342431764,1,False
3742,63,5,2,0.61,0.8240000000000001,-6.046,0.0534,0.0136,1.75e-06,0.0606,0.8190000000000001,134.99200000000002,210133,0.6896103896103896,0.3623376623376624,0,3.5022166666666665,340,97.08137227375043,0,False
3761,49,2,3,0.6509999999999999,0.711,-5.062,0.0378,0.111,6.13e-05,0.0488,0.425,125.089,191954,0.8,-0.2,1,3.1992333333333334,195,60.9521031080363,0,False
1916,42,0,18,0.743,0.8320000000000001,-4.644,0.0733,0.0299,0.0104,0.123,0.227,127.996,171562,0.0,0.0,0,2.859366666666667,110,38.47005747193434,0,False
1782,49,3,13,0.688,0.611,-7.212999999999999,0.0809,0.337,0.0,0.112,0.212,109.962,181144,0.4737103174603176,0.18647741147741145,0,3.019066666666667,394,130.5039084926909,0,False
6454,66,4,20,0.264,0.78,-2.741,0.0517,0.0452,0.0222,0.376,0.456,155.376,280467,0.55625,-1.214306433183765e-17,3,4.67445,528,112.95446523120368,0,False
2851,0,5,7,0.393,0.5529999999999999,-11.574000000000002,0.0287,0.223,0.000279,0.106,0.479,80.435,239293,0.5,0.4666666666666666,0,3.9882166666666654,133,33.34823835214569,4,False
6125,2,1,11,0.769,0.757,-5.424,0.0526,0.146,0.0,0.062,0.8809999999999999,118.98,218440,0.6284427284427284,-0.12110682110682112,1,3.6406666666666654,464,127.4491851309284,0,False
4794,56,2,3,0.69,0.805,-11.522,0.0336,0.000232,0.7390000000000001,0.095,0.799,127.808,264280,0.3857142857142857,0.18571428571428567,5,4.4046666666666665,290,65.83926138943545,1,False
4650,63,3,13,0.883,0.458,-6.801,0.0411,0.0401,0.00041900000000000016,0.0603,0.816,91.426,214493,0.4434313725490196,0.3539466354723707,0,3.574883333333333,260,72.72964618891993,3,False
6945,10,2,3,0.634,0.674,-7.145,0.0465,0.0487,0.00116,0.102,0.298,115.995,232760,0.5427170868347337,-0.06837916984975809,0,3.879333333333333,235,60.577418800481176,8,False
6842,60,2,10,0.556,0.276,-9.603,0.0269,0.0862,6.89e-06,0.0999,0.21600000000000005,75.02,227068,0.6192307692307697,0.3358974358974359,3,3.784466666666667,272,71.87274296686455,0,False
