,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Hit or Not,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance
1279,19,2,17,0.384,0.846,-5.591,0.0365,0.151,7.730000000000001e-05,0.0913,0.272,90.17200000000001,275693,0,0.7070512820512823,0.08354700854700851,46,4.594883333333334,963,209.5809469228453,1
329,41,4,20,0.381,0.539,-6.761,0.0375,2.5e-05,0.723,0.125,0.499,127.42399999999999,282160,0,0.6375,0.1125,0,4.7026666666666666,138,29.34505245250921,0
7498,66,5,15,0.478,0.9229999999999999,-7.5470000000000015,0.0569,2.7000000000000002e-05,0.7190000000000001,0.325,0.165,133.134,213800,0,0.5213768115942028,-0.029891304347826088,4,3.563333333333333,250,70.15902712815715,0
2789,66,3,13,0.745,0.672,-5.7379999999999995,0.0346,0.127,0.0,0.10300000000000001,0.6409999999999999,108.031,177697,0,0.4277777777777777,0.19062500000000004,1,2.9616166666666666,391,132.02248771785682,0
1152,29,2,3,0.5329999999999999,0.611,-8.371,0.036000000000000004,0.138,0.0176,0.13699999999999998,0.6559999999999999,101.03299999999999,236380,0,0.6050000000000002,0.3354545454545455,2,3.939666666666666,217,55.08080209831627,0
11730,0,2,10,0.785,0.665,-6.1370000000000005,0.0449,0.0302,2.65e-05,0.247,0.769,129.037,249573,0,0.5543055555555555,-0.08180555555555556,0,4.15955,307,73.80606075176401,0
6183,69,5,0,0.555,0.883,-3.426,0.0341,0.00114,0.040999999999999995,0.868,0.507,125.02,316718,0,0.7049019607843141,-0.2637254901960784,7,5.2786333333333335,526,99.64700459083471,3
11192,78,4,8,0.754,0.342,-8.677,0.0991,0.073,0.0,0.193,0.423,128.981,121347,0,0.6900621118012422,-0.0048654244306418366,0,2.02245,372,183.93532596603126,0
13758,16,4,6,0.551,0.851,-3.2769999999999997,0.19699999999999998,0.0748,0.0,0.0784,0.1,171.41099999999997,297893,0,0.4240651260504199,-0.045686274509803934,24,4.964883333333334,1822,366.9774046385783,2
14516,75,2,17,0.8240000000000001,0.733,-5.475,0.0613,0.0355,0.0,0.324,0.39299999999999996,97.971,284387,0,0.6033696338383839,-0.2076039411976912,3,4.7397833333333335,929,196.00052041759997,0
8972,16,3,23,0.7190000000000001,0.794,-4.655,0.0695,0.10300000000000001,0.0,0.0784,0.244,120.001,179069,0,0.6598765432098764,-0.23209876543209884,0,2.9844833333333334,338,113.25243341951985,0
